feature,mean_abs_shap
shapemaximum2ddiameterrow_delta,1.63140631665909
shapesphericity_delta,0.640001565023469
shapesurfacevolumeratio_delta,0.5822980227898097
firstorderrange_delta,0.291086675763025
ngtdmcoarseness_delta,0.26401478858626304
glszmsizezonenonuniformity_delta,0.2278904004490384
gldmsmalldependencelowgraylevelemphasis_delta,0.22661570706660555
glrlmlongrunhighgraylevelemphasis_delta,0.22225825558354437
firstorderuniformity_delta,0.2205644825905719
gldmdependencevariance_delta,0.16361342569028708
shapemeshvolume_delta,0.1357242921542991
glszmlargearealowgraylevelemphasis_delta,0.1236013400135889
glrlmlongrunlowgraylevelemphasis_delta,0.12045753150571983
glrlmshortrunemphasis_delta,0.09013410634684943
glcmdifferenceentropy_delta,0.08814378961410786
glrlmrunvariance_delta,0.08451270805309355
firstorderrobustmeanabsolutedeviation_delta,0.08395544573389063
gldmdependencenonuniformity_delta,0.07619357116741077
firstorderminimum_delta,0.07463432691813408
gldmlargedependencelowgraylevelemphasis_delta,0.07125822125129637
glszmzonepercentage_delta,0.0613075986294185
glrlmlongrunemphasis_delta,0.057075544917669994
glszmsmallarealowgraylevelemphasis_delta,0.05609642730103393
gldmlowgraylevelemphasis_delta,0.05542256006564913
ngtdmstrength_delta,0.05389592537700025
firstorder10percentile_delta,0.05051934611741117
shapeminoraxislength_delta,0.048684520362746515
gldmlargedependencehighgraylevelemphasis_delta,0.04849833227608601
glrlmshortrunlowgraylevelemphasis_delta,0.04728644482723207
glszmgraylevelnonuniformity_delta,0.044541945750683196
shapemaximum2ddiametercolumn_delta,0.042231742018755694
glszmlowgraylevelzoneemphasis_delta,0.042093530327659744
glszmsizezonenonuniformitynormalized_delta,0.04124926462023239
firstorderenergy_delta,0.04026632467228242
shapesurfacearea_delta,0.03832190313925918
ngtdmcomplexity_delta,0.03776246349595809
firstordermedian_delta,0.033025892197200965
glcmclustershade_delta,0.029610784357722842
shapevoxelvolume_delta,0.028705846943610103
firstorderkurtosis_delta,0.027316120023574395
shapemajoraxislength_delta,0.026812055698714872
glszmlargeareaemphasis_delta,0.023919844143460985
glcmimc2_delta,0.02374443557235962
firstorderrootmeansquared_delta,0.02267970858372194
glrlmrunentropy_delta,0.021078257920677124
glszmlargeareahighgraylevelemphasis_delta,0.020981596656219674
glszmsmallareaemphasis_delta,0.020954536390772157
glcmmcc_delta,0.020288670145853196
ngtdmbusyness_delta,0.018982608506098515
firstorderinterquartilerange_delta,0.017886386696311395
glszmsmallareahighgraylevelemphasis_delta,0.017225359331108914
shapemaximum2ddiameterslice_delta,0.01667326579438296
glcmidn_delta,0.01658139328482033
gldmgraylevelnonuniformity_delta,0.016509218339884946
firstorder90percentile_delta,0.01629350786989843
glrlmlowgraylevelrunemphasis_delta,0.015963121671688268
glrlmhighgraylevelrunemphasis_delta,0.01593440594145043
glrlmgraylevelnonuniformity_delta,0.01588794450088741
glcmcorrelation_delta,0.015692609187295908
ngtdmcontrast_delta,0.015152037194442407
firstordermean_delta,0.013518461218542922
gldmgraylevelvariance_delta,0.013027157286735066
glrlmgraylevelnonuniformitynormalized_delta,0.012607859754925085
glszmzonevariance_delta,0.01192034849880286
firstorderskewness_delta,0.011889208686719839
glcmclusterprominence_delta,0.011849460572209739
glrlmrunpercentage_delta,0.011059838177026573
firstorderentropy_delta,0.010836902976271668
glrlmgraylevelvariance_delta,0.01078437167934172
glcmcontrast_delta,0.009838684844909996
glcmidmn_delta,0.009766822866535336
glrlmrunlengthnonuniformity_delta,0.009158336542794463
gldmlargedependenceemphasis_delta,0.0090698847742474
gldmsmalldependenceemphasis_delta,0.00901629341514576
glcmmaximumprobability_delta,0.00899073520145672
glcmimc1_delta,0.008878753264158584
glcmsumentropy_delta,0.008658392644099015
glcmautocorrelation_delta,0.008103910146284504
glrlmrunlengthnonuniformitynormalized_delta,0.008083264544928173
glszmgraylevelvariance_delta,0.007217098585399979
glcmjointenergy_delta,0.0067274068379347815
glszmzoneentropy_delta,0.006407065595869137
glszmgraylevelnonuniformitynormalized_delta,0.005498404490287085
gldmdependencenonuniformitynormalized_delta,0.005487023444357243
firstordermaximum_delta,0.005427543483342591
glcmid_delta,0.005115144952698575
firstordervariance_delta,0.004784194483615618
glcmjointaverage_delta,0.004677910873791228
glrlmshortrunhighgraylevelemphasis_delta,0.004595030856539823
glcmidm_delta,0.004518524436417431
glszmhighgraylevelzoneemphasis_delta,0.003377473634127397
gldmsmalldependencehighgraylevelemphasis_delta,0.003249315420954206
shapemaximum3ddiameter_delta,0.0029708026553018564
glcmclustertendency_delta,0.0027040649369965072
glcminversevariance_delta,0.0024807264016623656
firstordertotalenergy_delta,0.002474332702341642
glcmdifferencevariance_delta,0.0022508896372420016
gldmdependenceentropy_delta,0.002087204953381297
glcmdifferenceaverage_delta,0.001758352279519941
glcmjointentropy_delta,0.0015549418077252266
firstordermeanabsolutedeviation_delta,0.0014387602209814038
glcmsumaverage_delta,0.0012039339755868202
gldmhighgraylevelemphasis_delta,0.0006746189972635806
glcmsumsquares_delta,0.0005925907169527037
shapeleastaxislength_delta,0.0
